Material,WorkFxn,mag_moment,Bandgap,lat_const,C11,C12,Y2D,G,K,v,V_l,V_s,V_m,T_D
MgRuSe3,4.362965,1.792,0.3326,6.27,26.2,13.89,18.84,6.16,20.05,0.53,3.85,1.87,2.37,246.36
CaCrTe3,4.363366,3.319,0.212,6.954,3.43,-0.21,3.42,1.82,1.61,-0.06,1.35,0.98,1.12,105.15
Sr2Mn2O6,4.376921,5.636,1.3215,5.476,72.02,27.42,61.59,22.3,49.72,0.38,5.44,3.02,3.74,627.91
Mg2Pt2Te6,4.379216,0.638,0.0959,6.42,28.69,-8.19,26.35,18.44,10.25,-0.29,2.26,1.81,2,286.76
MgVSe3,4.381544,0.844,0.556,6.542,21.24,11.57,14.94,4.84,16.41,0.54,3.9,1.86,2.37,235.93
Mg2Fe2Se6,4.383151,2.626,0.3715,5.765,48.09,42.18,11.1,2.96,45.13,0.88,3.62,0.9,1.23,196.87
CaPtF3,4.388242,1.29,0.4721,4.951,93.96,48.51,68.91,22.72,71.23,0.52,6.41,3.15,4,525.64
Mg2Ni2Se6,4.392021,1.885,0.1532,5.727,67.67,30.26,54.14,18.7,48.96,0.45,4.25,2.24,2.8,449.54
Ce2Ni2S6,4.392891,3.78,0.2364,5.894,49,34.31,24.97,7.34,41.65,0.7,3.88,1.5,1.98,309.04
CaNiTe3,4.408078,-0.28,0.3682,6.619,18.68,17.1,3.02,0.79,17.89,0.92,2.98,0.61,0.85,83.22
SrIrSe3,4.412889,0.807,0.3195,6.68,21.25,9.39,17.1,5.93,15.32,0.44,3.09,1.63,2.04,198.98
Sr2Ti2Se6,4.422231,0,0.5179,7.031,24.83,16.76,13.53,4.04,20.79,0.67,2.93,1.18,1.55,202.84
Ba2V2Se6,4.423361,2.1,0.7478,7.076,38.04,19.7,27.83,9.17,28.87,0.52,3.42,1.68,2.13,276.85
CeZnBr3,4.425668,0.969,1.4127,6.279,15.76,0.26,15.76,7.75,8.01,0.02,2.7,1.89,2.19,226.91
Mg2Ir2Te6,4.426524,0.695,0.2428,6.472,49.67,14.21,45.61,17.73,31.94,0.29,3.01,1.8,2.18,310.13
Ca2V2O6,4.430404,0,1.7987,5.487,45.36,40.56,9.09,2.4,42.96,0.89,5.06,1.16,1.6,268.89
MgMoS3,4.430973,1.296,0.4474,6.231,41.93,3.21,41.68,19.36,22.57,0.08,6.26,4.25,4.98,519.55
Ca2Pt2Te6,4.43166,0.077,0.1175,6.466,50.31,14.99,45.84,17.66,32.65,0.3,2.98,1.76,2.15,305.47
Mg2Zn2Te6,4.436231,1.164,0.1505,6.448,72.33,9.63,71.04,31.35,40.98,0.13,4.07,2.68,3.17,451.87
